class,attrcount,relcount,opcount,novelty
AuthnRequester,6,0,1,1
saml.assertion.ObjectFactory,0,0,35,1
saml.protocol.ObjectFactory,0,0,33,1
NameIDType,5,0,10,1
AuthnRequest,12,1,24,0.6
Base64,0,0,14,1
JAXBContext,2,0,4,1
Marshaller,3,0,6,1
RequestAbstractType,8,1,16,1
AssertionConsumer,3,0,1,1
Unmarshaller,1,0,8,1
StatusCode,2,0,4,1
Response,1,0,1,1
Status,3,0,6,1
Assertion,9,0,17,1
StatementAbstractType,0,0,0,1
AuthnContext,4,0,7,1
AuthnStatement,5,0,10,1
AttributeStatement,1,0,1,1
Attribute,4,0,8,1

