class,attrcount,relcount,opcount,novelty
AbstractNameIDType,5,1,10,1
RequestAbstractType,7,1,13,1
Endpoint,5,0,6,1
HTTPPostEncoder,3,1,6,0.67
BaseSAML2MessageEncoder,0,1,4,0.5
BaseMessageEncoder,0,1,4,1
VelocityEngine,1,0,14,1
HttpServletResponseAdapter,3,0,25,1
Issuer,0,1,0,0.06
AuthnRequester,5,0,1,1
DefaultBootstrap,0,0,6,1
IssuerBuilder,1,0,1,1
AuthnRequest,12,1,25,0.64
AuthnRequestBuilder,1,0,1,1
AssertionConsumerServiceBuilder,1,0,1,1
BasicSAMLMessageContext,22,1,5,0.44
AssertionConsumer,2,0,1,1
HTTPPostDecoder,2,1,4,0.44
BaseMessageDecoder,1,1,6,1
HttpServletRequestAdapter,3,0,19,1
Response,2,1,3,0.18
Assertion,9,0,18,1
AttributeStatement,1,0,1,1
BaseMessageContext,11,1,23,1
BaseSAML2MessageDecoder,0,2,7,0.6
BaseSAMLMessageDecoder,0,2,4,0.43
StatusResponseType,9,1,18,1
Status,3,0,6,1
StatusCode,2,0,4,1
AuthnContext,4,0,7,1
Attribute,5,0,7,1

