operation,parcount,srccount,tarcount,novelty
doGet,2,1,1,1
bootstrap,0,1,1,1
setValue,1,1,1,1
setVersion,1,1,1,1
setIssueInstant,1,1,1,1
setID,1,1,1,1
setForceAuthn,1,1,1,1
setIssuer,1,1,1,1
setLocation,1,1,1,1
setOutboundMessageTransport,1,1,1,1
setPeerEntityEndpoint,1,1,1,1
setOutboundSAMLMessage,1,1,1,1
setRelayState,1,1,1,1
init,0,1,1,1
encode,1,1,1,1
doPost,2,1,1,1
setInboundMessageTransport,1,1,1,1
decode,1,1,1,1
getInboundSAMLMessage,1,1,1,1
getAssertions,1,1,1,1
getAuthnStatements,1,1,1,1
getAuthnContext,1,1,1,1
getAuthnContextClassRef,1,1,1,1
getAuthnContextDecl,1,1,1,1
getAuthnContextDeclRef,1,1,1,1
getStatus,1,1,1,1
getStatusCode,1,1,1,1
getValue,1,1,1,1
getAttributes,1,1,1,1
getName,1,1,1,1
getAttributeValues,1,1,1,1
getRelayState,1,1,1,1

