operation,parcount,srccount,tarcount,novelty
doGet,2,1,1,1
setValue,1,1,1,1
setVersion,1,1,1,1
setID,1,1,1,1
setForceAuthn,1,1,1,1
setIssuer,1,1,1,1
setIssueInstant,1,1,1,1
newInstance,1,1,1,1
marshal,2,1,1,1
encodeBase64,2,1,1,1
doPost,2,1,1,1
newInstance,1,1,1,1
decodeBase64,2,1,1,1
unmarshal,2,1,1,1
getAssertionsAndEncryptedAssertions,1,1,1,1
getStatementsAndAuthnStatementsAndAuthzDecisionStatements,1,1,1,1
getAuthnContext,1,1,1,1
getAuthnContextClassRef,1,1,1,1
getAuthnContextDecl,1,1,1,1
getAuthnContextDeclRef,1,1,1,1
getStatus,1,1,1,1
getStatusCode,1,1,1,1
getValue,1,1,1,1
getAttributesAndEncryptedAttributes,1,1,1,1
getName,1,1,1,1
getAttributeValues,1,1,1,1

